Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
MainBoard,0.0320000193093406,0.0395027228531644,-0.00887228498062729,0,0,0,0.129368445580365,8.48084091172867E-05,2.80190057159981E-15,2.02445045214041E-15,3.18110038223727E-05,-1.94866910333067E-08,0.000114276211084326,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/MainBoard.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/MainBoard.STL,,Kopia podstawa^JASZCZUR_10_07-1;Kopia Kopia FT3325P^JASZCZUR_10_07-1;Kopia Kopia (3) FT3325P^JASZCZUR_10_07-1;Kopia Kopia (2) FT3325P^JASZCZUR_10_07-1;Kopia Kopia (4) FT3325P^JASZCZUR_10_07-1;Kopia Kopia (5) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2;Kopia SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRndServoLink,0.0098016864311756,0.00502207567819904,0.00196275724149369,0,0,0,0.00898215960028815,5.02863363005504E-07,4.18675844396454E-10,3.94830240933682E-11,3.74381841474543E-07,-1.3112112929385E-07,3.05060721261306E-07,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FRndServoLink.STL,0.749019607843137,0.749019607843137,0.749019607843137,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FRndServoLink.STL,,Kopia Kopia holder^JASZCZUR_10_07-1;Kopia Kopia SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1,Origin_FRndServoJnt,FR1,FRndServoJnt,continuous,0,0,0,0,0,0,MainBoard,-1,0,0,0,0,-90,90,,,,,,,,0
FRstArmLink,-0.0500875871883696,0.00194912580005271,0.000253934434247732,0,0,0,0.0107279118497702,4.12846705839608E-07,-3.43052828463929E-12,7.44951237431332E-12,1.46713625008234E-06,-9.7433444226041E-09,1.19624826540066E-06,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FRstArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FRstArmLink.STL,,Kopia Kopia arm^JASZCZUR_10_07-1;Kopia Kopia SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2,Origin_FRstArmJnt,FR2,FRstArmJnt,continuous,0,0,0,0,0,0,FRndServoLink,0,-1,0,0,0,-90,90,,,,,,,,0
FRndArmLink,1.66533453693773E-16,0.00400000000000231,0.0271089217366474,0,0,0,0.0036829203673205,1.06068205884601E-06,-2.61337374778472E-23,-3.15677567247594E-21,1.0612743799609E-06,-9.69952264274263E-23,3.98768050329808E-08,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FRndArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FRndArmLink.STL,,Kopia Kopia arm^JASZCZUR_10_07-2,Origin_FRndArmJnt,FR3,FRndArmJnt,continuous,0,0,0,0,0,0,FRstArmLink,0,-1,0,0,0,-90,90,,,,,,,,0
FLndServoLink,0.00502207561036433,0.0098014081989965,0.00196275721417633,0,0,0,0.00898215956181228,3.74381842823677E-07,4.03840416342418E-10,-1.31121133113021E-07,5.02863370888215E-07,3.24804200573631E-11,3.05060719170781E-07,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FLndServoLink.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FLndServoLink.STL,,Kopia Kopia (3) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1;Kopia Kopia (3) holder^JASZCZUR_10_07-1,Origin_FLndServoJnt,FL1,FLndServoJnt,continuous,0,0,0,0,0,0,MainBoard,0,-1,0,0,0,-90,90,,,,,,,,0
FLstArmLink,-0.0500875873876524,0.00194912593459625,0.000253934562126246,0,0,0,0.0107279120183282,4.1284671726827E-07,-3.43025266266729E-12,7.45044411557124E-12,1.46713626063975E-06,-9.74334754935356E-09,1.19624826644716E-06,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FLstArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FLstArmLink.STL,,Kopia Kopia (3) arm^JASZCZUR_10_07-1;Kopia Kopia (3) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2,Origin_FLstArmJnt,FL2,FLstArmJnt,continuous,0,0,0,0,0,0,FLndServoLink,0,-1,0,0,0,-90,90,,,,,,,,0
FLndArmLink,1.77635683940025E-15,0.00400000000000253,0.0271089217366467,0,0,0,0.00368292036732051,1.06068205884601E-06,-1.47341546611008E-23,-2.75832422543757E-22,1.06127437996091E-06,1.85708348209369E-21,3.98768050329815E-08,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FLndArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/FLndArmLink.STL,,Kopia Kopia (3) arm^JASZCZUR_10_07-2,Origin_FLndArmJnt,FL3,FLndArmJnt,continuous,0,0,0,0,0,0,FLstArmLink,0,-1,0,0,0,-90,90,,,,,,,,0
RLndServoLink,0.00502207559527033,0.00980168628786889,-0.00196275742307396,0,0,0,0.00898215939878838,3.74381834266887E-07,4.18674984067614E-10,1.31121128597758E-07,5.02863359943406E-07,-3.94795548611325E-11,3.05060716625873E-07,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/RLndServoLink.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/RLndServoLink.STL,,Kopia Kopia (2) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-1;Kopia Kopia (2) holder^JASZCZUR_10_07-1,Origin_RLndServoJnt,RL1,RLndServoJnt,continuous,0,0,0,0,0,0,MainBoard,0,-1,0,0,0,-90,90,,,,,,,,0
RLstArmLink,-0.0500875871864415,0.00194912579904715,0.00025393443359199,0,0,0,0.0107279118486511,4.12846705783004E-07,-3.43054560284723E-12,7.44948705378678E-12,1.46713625002562E-06,-9.74334440777068E-09,1.19624826538892E-06,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/RLstArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/RLstArmLink.STL,,Kopia Kopia (2) arm^JASZCZUR_10_07-1;Kopia Kopia (2) SG90 - Micro Servo 9g - Tower Pro.1^JASZCZUR_10_07-2,Origin_RLstArmJnt,RL2,RLstArmJnt,continuous,0,0,0,0,0,0,RLndServoLink,0,-1,0,0,0,-90,90,,,,,,,,0
RLndArmLink,-6.07153216591882E-16,0.00400000000000033,0.027108921736649,0,0,0,0.00368292036732051,1.06068205884601E-06,-8.73709522009135E-24,-4.73809701105228E-22,1.0612743799609E-06,2.86809130555803E-21,3.98768050329813E-08,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/RLndArmLink.STL,0.92156862745098,0.92156862745098,0.92156862745098,1,0,0,0,0,0,0,package://JASZCZUR_31_07/meshes/RLndArmLink.STL,,Kopia Kopia (2) arm^JASZCZUR_10_07-2,Origin_RLndArmJnt,RL3,RLndArmJnt,continuous,0,0,0,0,0,0,RLstArmLink,0,-1,0,0,0,-90,90,,,,,,,,0
